date,sta,flight_no,origin,origin_code,airline_name,aircraft_type,tail_reg,icao_cat,cbp_flag,actual_landing,gate
31-Mar-26,21:35,EI3309,Southampton (SOU),SOU,Aer Lingus Regional,AT76,EI-HPJ,B,FALSE,,
31-Mar-26,21:35,FR512,Bristol (BRS),BRS,Ryanair,B38M,EI-IKR,C,FALSE,,
31-Mar-26,21:40,FR5562,Glasgow (GLA),GLA,Ryanair,B738,SP-RKH,C,FALSE,,
31-Mar-26,21:45,EA3259,Edinburgh (EDI),EDI,Aer Lingus Regional,AT76,EI-FAT,B,FALSE,,
31-Mar-26,21:45,EA3289,Bristol (BRS),BRS,Aer Lingus Regional,AT76,EI-GPN,B,FALSE,,
31-Mar-26,21:50,BA4470,London (LCY),LCY,British Airways,E190,G-LCYP,C,FALSE,,
31-Mar-26,21:50,FR3103,Amsterdam (AMS),AMS,Ryanair,B738,SP-RKM,C,FALSE,,
31-Mar-26,22:00,FR127,London (LGW),LGW,Ryanair,B738,9H-QCA,C,FALSE,,
31-Mar-26,22:05,EI3329,Manchester (MAN),MAN,Aer Lingus Regional,AT76,EI-HNA,B,FALSE,,
31-Mar-26,22:05,FR8563,Malaga (AGP),AGP,Ryanair,B738,EI-EVJ,C,FALSE,,
31-Mar-26,22:08,N/A,Birmingham (BHX),BHX,Aer Lingus Regional,AT76,EI-HDK,B,FALSE,,
31-Mar-26,22:10,EA3197,Liverpool (LPL),LPL,Aer Lingus Regional,AT76,EI-GPO,B,FALSE,,
31-Mar-26,22:15,LH982,Frankfurt (FRA),FRA,Lufthansa,A321,D-AISG,C,FALSE,,
31-Mar-26,22:15,N/A,Manchester (MAN),MAN,Aer Lingus Regional,AT76,EI-HNA,B,FALSE,,
31-Mar-26,22:20,EI611,Amsterdam (AMS),AMS,Aer Lingus,A320,EI-FNJ,C,FALSE,,
31-Mar-26,22:20,5F5711,Chisinau (RMO),RMO,FlyOne,A321,ER-00003,C,FALSE,,
31-Mar-26,22:25,FR456,Leeds (LBA),LBA,Ryanair,B38M,9H-VVL,C,FALSE,,
31-Mar-26,22:25,KL1145,Amsterdam (AMS),AMS,KLM,B738,PH-BGA,C,FALSE,,
31-Mar-26,22:30,EI183,London (LHR),LHR,Aer Lingus,A20N,EI-NSE,C,FALSE,,
31-Mar-26,22:30,EI3275,Birmingham (BHX),BHX,Aer Lingus,AT7,,B,FALSE,,
31-Mar-26,22:30,FR1861,Paris (BVA),BVA,Ryanair,B738,SP-RKV,C,FALSE,,
31-Mar-26,22:40,AF1016,Paris (CDG),CDG,Air France,BCS3,F-HPNM,C,FALSE,,
31-Mar-26,22:40,EI529,Paris (CDG),CDG,Aer Lingus,A320,EI-DEI,C,FALSE,,
31-Mar-26,22:50,EI575,Alicante (ALC),ALC,Aer Lingus,A320,EI-DVK,C,FALSE,,
31-Mar-26,22:50,EI737,Palma de Mallorca (PMI),PMI,Aer Lingus,A320,EI-DEK,C,FALSE,,
31-Mar-26,22:50,FR667,Birmingham (BHX),BHX,Ryanair,B738,EI-DPP,C,FALSE,,
31-Mar-26,22:55,EI709,Marrakesh (RAK),RAK,Aer Lingus,A320,EI-DVN,C,FALSE,,
31-Mar-26,22:55,FR4223,Bratislava (BTS),BTS,Ryanair,B738,9H-QCT,C,FALSE,,
31-Mar-26,22:55,FR7236,Malta (MLA),MLA,Ryanair,B38M,EI-HMZ,C,FALSE,,
31-Mar-26,23:00,EI465,Malta (MLA),MLA,Aer Lingus,A320,EI-DES,C,FALSE,,
31-Mar-26,23:00,FR143,London (LGW),LGW,Ryanair,B38M,9H-VUQ,C,FALSE,,
31-Mar-26,23:00,FR942,Palma de Mallorca (PMI),PMI,Ryanair,B38M,EI-IFS,C,FALSE,,
31-Mar-26,23:05,EI497,Faro (FAO),FAO,Aer Lingus,A320,EI-GAM,C,FALSE,,
31-Mar-26,23:05,FR813,Edinburgh (EDI),EDI,Ryanair,B38M,EI-IJD,C,FALSE,,
31-Mar-26,23:05,FR7329,Lisbon (LIS),LIS,Ryanair,B38M,EI-HGW,C,FALSE,,
31-Mar-26,23:10,EI337,Berlin (BER),BER,Aer Lingus,A320,EI-DVI,C,FALSE,,
31-Mar-26,23:10,EI587,Malaga (AGP),AGP,Aer Lingus,A320,EI-EDP,C,FALSE,,
31-Mar-26,23:20,FR210,London (STN),STN,Ryanair,B738,SP-RSQ,C,FALSE,,
31-Mar-26,23:45,FR557,Manchester (MAN),MAN,Ryanair,B738,EI-DPN,C,FALSE,,
31-Mar-26,23:45,FR9998,Pisa (PSA),PSA,Ryanair,B38M,9H-VVJ,C,FALSE,,
31-Mar-26,23:50,FR4500,Cologne (CGN),CGN,Ryanair,B738,9H-QAD,C,FALSE,,
31-Mar-26,23:50,FR8108,Reus (REU),REU,Ryanair,B738,EI-GXK,C,FALSE,,
31-Mar-26,23:55,FR883,Fuerteventura (FUE),FUE,Ryanair,B38M,EI-HGP,C,FALSE,,
01-Apr-26,00:05,FR3567,Santiago de Compostela (SCQ),SCQ,Ryanair,B738,SP-RNS,C,FALSE,,
01-Apr-26,00:10,FR7001,Girona (GRO),GRO,Ryanair,B38M,9H-VUZ,C,FALSE,,
01-Apr-26,00:15,FR635,Cardiff (CWL),CWL,Ryanair,B738,SP-RNP,C,FALSE,,
01-Apr-26,00:15,FR669,Birmingham (BHX),BHX,Ryanair,B38M,EI-IHM,C,FALSE,,
01-Apr-26,00:20,EI779,Lanzarote (ACE),ACE,Aer Lingus,A20N,EI-NSB,C,FALSE,,
01-Apr-26,00:20,FR7125,Lanzarote (ACE),ACE,Ryanair,B38M,EI-IFW,C,FALSE,,
01-Apr-26,00:20,FR7313,Zadar (ZAD),ZAD,Ryanair,B38M,EI-IHC,C,FALSE,,
01-Apr-26,00:25,FR3881,Dubrovnik (DBV),DBV,Ryanair,B38M,EI-ILJ,C,FALSE,,
01-Apr-26,00:25,FR8135,Alicante (ALC),ALC,Ryanair,B38M,EI-HMW,C,FALSE,,
01-Apr-26,00:30,FR9976,Ibiza (IBZ),IBZ,Ryanair,B738,EI-EBY,C,FALSE,,
01-Apr-26,00:35,FR633,Copenhagen (CPH),CPH,Ryanair,B38M,EI-HET,C,FALSE,,
01-Apr-26,00:45,EI765,Tenerife (TFS),TFS,Aer Lingus (Retro livery),A320,EI-DVM,C,FALSE,,
01-Apr-26,00:45,LH8321,Birmingham (BHX),BHX,Lufthansa Cargo,A321,D-AEUA,C,FALSE,,
01-Apr-26,00:50,EI783,Gran Canaria (LPA),LPA,Aer Lingus,A320,EI-DVL,C,FALSE,,
01-Apr-26,00:50,FR7073,Porto (OPO),OPO,Ryanair,B738,SP-RKD,C,FALSE,,
01-Apr-26,00:50,FR7120,Tenerife (TFS),TFS,Ryanair,B38M,EI-HEN,C,FALSE,,
01-Apr-26,00:55,EI565,Barcelona (BCN),BCN,Aer Lingus,A320,EI-EDS,C,FALSE,,
01-Apr-26,00:59,EI487,Lisbon (LIS),LIS,Aer Lingus,A20N,EI-NSD,C,FALSE,,
01-Apr-26,01:01,FR7800,Milan (MXP),MXP,Ryanair,B38M,EI-IHY,C,FALSE,,
01-Apr-26,01:15,FR5204,Sofia (SOF),SOF,Ryanair,B38M,EI-ILC,C,FALSE,,
01-Apr-26,01:15,FR7135,Palermo (PMO),PMO,Ryanair,B738,SP-RND,C,FALSE,,
01-Apr-26,01:30,EI799,Izmir (ADB),ADB,Aer Lingus,A320,EI-DEJ,C,FALSE,,
01-Apr-26,01:49,XM358,Birmingham (BHX),BHX,Zimex Aviation,AT72,HB-AFJ,B,FALSE,,
01-Apr-26,04:00,N/A,Nottingham (EMA),EMA,DHL,A306,D-AEAT,C,FALSE,,
01-Apr-26,04:25,QY2886,Brussels (BRU),BRU,DHL,B738,EC-HLN,C,FALSE,,
01-Apr-26,04:30,EI104,New York (JFK),JFK,Aer Lingus,A333,EI-FNG,E,TRUE,,
01-Apr-26,04:38,FX5051,Indianapolis (IND),IND,FedEx,B763,N125FE,D,FALSE,,
01-Apr-26,04:45,5O4294,Paris (CDG),CDG,ASL Airlines,B738,F-HIQB,C,FALSE,,
01-Apr-26,04:49,5X248,Cologne (CGN),CGN,UPS,B763,N391UP,D,FALSE,,
01-Apr-26,05:10,EI122,Chicago (ORD),ORD,Aer Lingus,A333,EI-EDY,E,TRUE,,
01-Apr-26,05:10,EI126,Toronto (YYZ),YYZ,Aer Lingus,A333,EI-DUZ,E,TRUE,,
01-Apr-26,05:11,QY2882,Leipzig (LEJ),LEJ,Titan Airways,A321,9H-ZTB,C,FALSE,,
01-Apr-26,05:15,EI100,New York (EWR),EWR,Aer Lingus,A21N,EI-LRC,C,TRUE,,
01-Apr-26,05:15,EI116,Washington (IAD),IAD,Aer Lingus,A21N,EI-LRA,C,TRUE,,
01-Apr-26,05:15,EI130,Windsor Locks (BDL),BDL,Aer Lingus,A21N,EI-LRD,C,TRUE,,
01-Apr-26,05:58,FX5202,London (STN),STN,FedEx,B763,N107FE,D,FALSE,,
01-Apr-26,06:07,TK6425,Istanbul (IST),IST,Turkish Cargo,A332,TC-JCI,E,FALSE,,
01-Apr-26,06:30,AA722,Philadelphia (PHL),PHL,American Airlines,B788,N871AY,E,TRUE,,
01-Apr-26,06:30,FR23,Paris (BVA),BVA,Ryanair,B38M,EI-IKW,C,FALSE,,
01-Apr-26,06:45,FR435,Liverpool (LPL),LPL,Ryanair,B738,EI-GSK,C,FALSE,,
01-Apr-26,07:00,FR157,Leeds (LBA),LBA,Ryanair,B738,9H-QFD,C,FALSE,,
01-Apr-26,07:10,FR2972,Kaunas (KUN),KUN,Ryanair,B38M,SP-RZL,C,FALSE,,
01-Apr-26,07:20,UA310,Washington (IAD),IAD,United Airlines,B752,N14106,D,TRUE,,
01-Apr-26,07:30,UA23,New York (EWR),EWR,United Airlines,B77W,N2331U,C,TRUE,,
01-Apr-26,07:35,FR339,London (LTN),LTN,Ryanair,B38M,9H-VUH,C,FALSE,,
01-Apr-26,07:35,FR3976,Barcelona (BCN),BCN,Ryanair,B738,EI-EME,C,FALSE,,
01-Apr-26,07:35,FR5419,Berlin (BER),BER,Ryanair,B38M,EI-IGK,C,FALSE,,
01-Apr-26,07:40,BA824,London (LHR),LHR,British Airways,A320,G-EUUJ,C,FALSE,,
01-Apr-26,07:50,FR271,London (STN),STN,Ryanair,B38M,EI-HGY,C,FALSE,,
01-Apr-26,07:55,DL258,Minneapolis (MSP),MSP,Delta Air Lines,A333,N806NW,E,TRUE,,
01-Apr-26,08:05,BA4460,London (LCY),LCY,British Airways,E190,G-LCAG,C,FALSE,,
01-Apr-26,08:05,LH976,Frankfurt (FRA),FRA,Lufthansa,A319,D-AIBF,C,FALSE,,
01-Apr-26,08:15,AC800,Toronto (YYZ),YYZ,Air Canada,B789,C-FGDZ,E,TRUE,,
01-Apr-26,08:15,EI86,Cleveland (CLE),CLE,Aer Lingus,A21N,EI-XLU,C,TRUE,,
01-Apr-26,08:15,EI88,Minneapolis (MSP),MSP,Aer Lingus,A21N,EI-XLW,C,TRUE,,
01-Apr-26,08:15,AF1616,Paris (CDG),CDG,Air France,BCS3,F-HOZB,C,FALSE,,
01-Apr-26,08:20,D83606,Copenhagen (CPH),CPH,Norwegian (Gustav Vigeland Livery),B738,SE-RPL,C,FALSE,,
01-Apr-26,08:20,KL1135,Amsterdam (AMS),AMS,KLM,E295,PH-NXI,C,FALSE,,
01-Apr-26,08:25,EI136,Boston (BOS),BOS,Aer Lingus,A333,EI-EIN,E,TRUE,,
01-Apr-26,08:25,FR809,Edinburgh (EDI),EDI,Ryanair,B738,9H-QCT,C,FALSE,,
01-Apr-26,08:35,EI76,Nashville (BNA),BNA,Aer Lingus,A21N,EI-XLR,C,TRUE,,
01-Apr-26,08:40,EI146,Bridgetown (BGI),BGI,Aer Lingus,A21N,EI-XLV,C,FALSE,,
01-Apr-26,08:45,DL176,Atlanta (ATL),ATL,Delta Air Lines,B764,N825MH,D,TRUE,,
01-Apr-26,08:45,FR275,Glasgow (GLA),GLA,Ryanair,B738,SP-RND,C,FALSE,,
01-Apr-26,08:50,EI106,New York (JFK),JFK,Aer Lingus,A21N,EI-LRE,C,TRUE,,
01-Apr-26,08:50,EI3401,Donegal (CFN),CFN,Aer Lingus Regional,AT76,EI-GPO,B,FALSE,,
01-Apr-26,08:55,AY1381,Helsinki (HEL),HEL,Jettime,B738,OY-JZO,C,FALSE,,
01-Apr-26,08:55,EY45,Abu Dhabi (AUH),AUH,Etihad Airways,B789,A6-BLZ,E,FALSE,,
01-Apr-26,08:55,FR553,Manchester (MAN),MAN,Ryanair,B738,SP-RKD,C,FALSE,,
01-Apr-26,09:00,EI151,London (LHR),LHR,Aer Lingus,A20N,EI-NSH,C,FALSE,,
01-Apr-26,09:05,EI118,Washington (IAD),IAD,Aer Lingus,A21N,EI-LRG,C,TRUE,,
01-Apr-26,09:05,IB1881,Madrid (MAD),MAD,Iberia Express,A320,EC-LVQ,C,FALSE,,
01-Apr-26,09:15,DL44,New York (JFK),JFK,Delta Air Lines,B763,N177DZ,D,TRUE,,
01-Apr-26,09:15,EI203,Manchester (MAN),MAN,Aer Lingus,A320,EI-DEJ,C,FALSE,,
01-Apr-26,09:15,FR21,Newcastle (NCL),NCL,Ryanair,B38M,EI-HAW,C,FALSE,,
01-Apr-26,09:15,VY8720,Barcelona (BCN),BCN,Vueling,A320,EC-MER,C,FALSE,,
01-Apr-26,09:20,EI263,Birmingham (BHX),BHX,Aer Lingus,A320,EI-DEI,C,FALSE,,
01-Apr-26,09:31,N/A,Prague (PRG),PRG,Smartwings (CSA Livery),BCS3,OK-FYD,C,FALSE,,
01-Apr-26,09:31,N/A,Munich (MUC),MUC,NetJets,C56X,CS-DQA,C,FALSE,,
01-Apr-26,09:35,AA724,Charlotte (CLT),CLT,American Airlines,B772,N762AN,E,TRUE,,
01-Apr-26,09:35,EI1120,Orlando (MCO),MCO,Aer Lingus,A333,EI-FNH,E,TRUE,,
01-Apr-26,09:35,FR661,Birmingham (BHX),BHX,Ryanair,B38M,EI-HMW,C,FALSE,,
01-Apr-26,09:35,TK1975,Istanbul (IST),IST,Turkish Airlines,A21N,TC-LSZ,C,FALSE,,
01-Apr-26,09:40,BA826,London (LHR),LHR,British Airways,A21N,G-NEOU,C,FALSE,,
01-Apr-26,09:40,FR1987,Nantes (NTE),NTE,Ryanair,B738,SP-RSQ,C,FALSE,,
01-Apr-26,09:45,AA132,Dallas (DFW),DFW,American Airlines,B788,N882BL,E,TRUE,,
01-Apr-26,09:45,UA980,Chicago (ORD),ORD,United Airlines,B788,N27901,E,TRUE,,
01-Apr-26,09:50,EI401,Rome (FCO),FCO,Aer Lingus,A320,EI-DER,C,FALSE,,
01-Apr-26,09:50,EA3221,Glasgow (GLA),GLA,Aer Lingus Regional,AT76,EI-HNA,B,FALSE,,
01-Apr-26,09:50,EA3251,Edinburgh (EDI),EDI,Aer Lingus Regional,AT76,EI-FAT,B,FALSE,,
01-Apr-26,09:50,EI3391,Leeds (LBA),LBA,Aer Lingus Regional,AT76,G-CMMN,B,FALSE,,
01-Apr-26,09:50,FR31,London (STN),STN,Ryanair,B738,SP-RKM,C,FALSE,,
01-Apr-26,09:55,LH2516,Munich (MUC),MUC,Lufthansa,A21N,D-AIEE,C,FALSE,,
01-Apr-26,09:57,N/A,Leeds (LBA),LBA,Aer Lingus Regional,AT76,EI-GZV,B,FALSE,,
01-Apr-26,10:00,A3630,Athens (ATH),ATH,Aegean Airlines,A320,SX-DNB,C,FALSE,,
01-Apr-26,10:00,TP1322,Lisbon (LIS),LIS,TAP Express,E195,CS-TAY,C,FALSE,,
01-Apr-26,10:05,FR47,Brussels (CRL),CRL,Ryanair,B738,9H-QAL,C,FALSE,,
01-Apr-26,10:15,EI153,London (LHR),LHR,Aer Lingus,A20N,EI-NSE,C,FALSE,,
01-Apr-26,10:15,FR113,London (LGW),LGW,Ryanair,B38M,EI-HET,C,FALSE,,
01-Apr-26,10:15,FR441,Liverpool (LPL),LPL,Ryanair,B738,EI-DWF,C,FALSE,,
01-Apr-26,10:20,EI603,Amsterdam (AMS),AMS,Aer Lingus,A320,EI-DEK,C,FALSE,,
01-Apr-26,10:20,EI3321,Manchester (MAN),MAN,Aer Lingus Regional,AT76,EI-HPJ,B,FALSE,,
01-Apr-26,10:20,FR3881,Dubrovnik (DBV),DBV,Ryanair,B38M,SP-RZX,C,FALSE,,
01-Apr-26,10:25,FR505,Bristol (BRS),BRS,Ryanair,B738,9H-QCO,C,FALSE,,
01-Apr-26,10:25,FR817,Edinburgh (EDI),EDI,Ryanair,B38M,9H-VUI,C,FALSE,,
01-Apr-26,10:25,KL1137,Amsterdam (AMS),AMS,KLM,B738,PH-BXY,C,FALSE,,
01-Apr-26,10:30,VJT449,Farnborough (FAB),FAB,VistaJet,CL35,9H-VCO,C,FALSE,,
01-Apr-26,10:35,EI124,Chicago (ORD),ORD,Aer Lingus,A333,EI-EIL,E,TRUE,,
01-Apr-26,10:35,BA4462,London (LCY),LCY,British Airways,E190,G-LCYP,C,FALSE,,
01-Apr-26,10:40,UA228,Washington (IAD),IAD,United Airlines,B752,N18112,D,TRUE,,
01-Apr-26,10:40,N/A,London (LCY),LCY,NetJets,C68A,CS-LUD,C,FALSE,,
01-Apr-26,10:43,DL176,New York (JFK),JFK,Delta Air Lines,B764,N825MH,D,TRUE,,
01-Apr-26,10:45,DL154,Boston (BOS),BOS,Delta Air Lines,B763,N178DZ,D,TRUE,,
01-Apr-26,10:45,EI3351,Newcastle (NCL),NCL,Aer Lingus Regional,AT76,EI-HDK,B,FALSE,,
01-Apr-26,10:55,EI3551,Edinburgh (EDI),EDI,Aer Lingus Regional,AT76,EI-GPN,B,FALSE,,
01-Apr-26,10:55,FR421,Amsterdam (AMS),AMS,Ryanair,B738,SP-RKH,C,FALSE,,
01-Apr-26,10:55,SK535,Stockholm (ARN),ARN,SAS,A20N,EI-SIW,C,FALSE,,
01-Apr-26,11:00,EI3301,Southampton (SOU),SOU,Aer Lingus Regional,AT76,EI-HPK,B,FALSE,,
01-Apr-26,11:00,FR5126,Hamburg (HAM),HAM,Ryanair,B738,EI-EBL,C,FALSE,,
01-Apr-26,11:05,EI631,Brussels (BRU),BRU,Aer Lingus (Retro livery),A320,EI-DVM,C,FALSE,,
01-Apr-26,11:05,FI416,Reykjavik (KEF),KEF,Icelandair,B38M,TF-ICP,C,FALSE,,
01-Apr-26,11:10,UA317,New York (EWR),EWR,United Airlines,B752,N17126,D,TRUE,,
01-Apr-26,11:10,FR115,London (LGW),LGW,Ryanair,B738,SP-RNP,C,FALSE,,
01-Apr-26,11:15,EI521,Paris (CDG),CDG,Aer Lingus,A21N,EI-LRD,C,FALSE,,
01-Apr-26,11:15,FR658,Brussels (BRU),BRU,Ryanair,B738,SP-RKV,C,FALSE,,
01-Apr-26,11:20,EI155,London (LHR),LHR,Aer Lingus,A20N,EI-NSG,C,FALSE,,
01-Apr-26,11:25,EI693,Dusseldorf (DUS),DUS,Aer Lingus,A320,EI-GAM,C,FALSE,,
01-Apr-26,11:25,FR2413,Memmingen (FMM),FMM,Ryanair,B738,EI-GXK,C,FALSE,,
01-Apr-26,11:25,LM51,Aberdeen (ABZ),ABZ,Loganair,AT76,G-LMTI,B,FALSE,,
01-Apr-26,11:30,EI681,Geneva (GVA),GVA,Aer Lingus,A320,EI-DEM,C,FALSE,,
01-Apr-26,11:35,FR535,Nottingham (EMA),EMA,Malta Air,B38M,9H-VUF,C,FALSE,,
01-Apr-26,11:35,FR612,Kerry (KIR),KIR,Ryanair,B738,SP-RKD,C,FALSE,,
01-Apr-26,11:35,LH978,Frankfurt (FRA),FRA,Lufthansa (Superstar Heritage Livery),A321,D-AISZ,C,FALSE,,
01-Apr-26,11:40,EI108,New York (JFK),JFK,Aer Lingus,A21N,EI-LRF,C,TRUE,,
01-Apr-26,11:45,EI60,San Francisco (SFO),SFO,Aer Lingus,A333,EI-EIM,E,TRUE,,
01-Apr-26,11:45,FR4845,Milan (BGY),BGY,Ryanair,B38M,EI-ILJ,C,FALSE,,
01-Apr-26,11:50,EI503,Bordeaux (BOD),BOD,Aer Lingus,A20N,EI-NSB,C,FALSE,,
01-Apr-26,11:50,SK537,Copenhagen (CPH),CPH,SAS,A20N,EI-SID,C,FALSE,,
01-Apr-26,12:00,FR942,Palma de Mallorca (PMI),PMI,Ryanair,B738,EI-DPN,C,FALSE,,
01-Apr-26,12:00,FR7031,Faro (FAO),FAO,Ryanair,B738,EI-DPP,C,FALSE,,
01-Apr-26,12:05,BA828,London (LHR),LHR,British Airways,A320,G-EUYL,C,FALSE,,
01-Apr-26,12:05,EI333,Berlin (BER),BER,Aer Lingus,A320,EI-DVG,C,FALSE,,
01-Apr-26,12:05,EW9394,Dusseldorf (DUS),DUS,Eurowings,A319,D-AGWG,C,FALSE,,
01-Apr-26,12:10,EI651,Frankfurt (FRA),FRA,Aer Lingus,A320,EI-DEL,C,FALSE,,
01-Apr-26,12:10,FR1902,Krakow (KRK),KRK,Ryanair,B38M,EI-IFW,C,FALSE,,
01-Apr-26,12:10,LX400,Zurich (ZRH),ZRH,Swiss,A20N,HB-JDF,C,FALSE,,
01-Apr-26,12:15,FR1949,Luxembourg (LUX),LUX,Ryanair,B738,9H-QAD,C,FALSE,,
01-Apr-26,12:20,EI593,Madrid (MAD),MAD,Aer Lingus,A320,EI-FNJ,C,FALSE,,
01-Apr-26,12:20,EK161,Dubai (DXB),DXB,Emirates,B77W,A6-EQA,C,FALSE,,
01-Apr-26,12:25,EA3555,Edinburgh (EDI),EDI,Aer Lingus Regional,AT76,EI-GPO,B,FALSE,,
01-Apr-26,12:30,FR555,Manchester (MAN),MAN,Ryanair,B738,SP-RSQ,C,FALSE,,
01-Apr-26,12:35,FR7763,Alicante (ALC),ALC,Ryanair,B38M,EI-IJD,C,FALSE,,
01-Apr-26,12:40,KL1139,Amsterdam (AMS),AMS,KLM,E295,PH-NXF,C,FALSE,,
01-Apr-26,12:45,EI205,Manchester (MAN),MAN,Aer Lingus,A21N,EI-XLV,C,FALSE,,
01-Apr-26,12:50,EI343,Zurich (ZRH),ZRH,Aer Lingus,A320,EI-DEP,C,FALSE,,
01-Apr-26,12:50,EI563,Barcelona (BCN),BCN,Aer Lingus,A20N,EI-NSD,C,FALSE,,
01-Apr-26,12:55,EI433,Milan (LIN),LIN,Aer Lingus,A320,EI-DVN,C,FALSE,,
01-Apr-26,13:00,FR7047,Malaga (AGP),AGP,Ryanair,B38M,EI-ILC,C,FALSE,,
01-Apr-26,13:00,PC1157,Istanbul (SAW),SAW,Pegasus,A21N,TC-RFS,C,FALSE,,
01-Apr-26,13:05,EI353,Munich (MUC),MUC,Aer Lingus,A320,EI-DVH,C,FALSE,,
01-Apr-26,13:05,FR663,Birmingham (BHX),BHX,Ryanair,B738,SP-RKM,C,FALSE,,
01-Apr-26,13:05,FR2702,Seville (SVQ),SVQ,Ryanair,B38M,EI-IFS,C,FALSE,,
01-Apr-26,13:05,FR7359,Bari (BRI),BRI,Ryanair,B38M,EI-IHC,C,FALSE,,
01-Apr-26,13:10,FR1112,London (LGW),LGW,Ryanair,B738,9H-QCT,C,FALSE,,
01-Apr-26,13:15,EI50,Las Vegas (LAS),LAS,Aer Lingus,A332,EI-DUO,E,TRUE,,
01-Apr-26,13:15,EI3323,Manchester (MAN),MAN,Aer Lingus Regional,AT76,EI-HNA,B,FALSE,,
01-Apr-26,13:15,FR443,Liverpool (LPL),LPL,Ryanair,B738,EI-DLD,C,FALSE,,
01-Apr-26,13:15,FR5020,Pisa (PSA),PSA,Ryanair,B38M,EI-IHY,C,FALSE,,
01-Apr-26,13:25,EI643,Prague (PRG),PRG,Aer Lingus,A320,EI-EDS,C,FALSE,,
01-Apr-26,13:25,FR5569,Rome (FCO),FCO,Ryanair,B38M,EI-HMZ,C,FALSE,,
01-Apr-26,13:25,LG4883,Luxembourg (LUX),LUX,Luxair,DH8D,LX-LQB,B,FALSE,,
01-Apr-26,13:30,EI159,London (LHR),LHR,Aer Lingus,A20N,EI-NSH,C,FALSE,,
01-Apr-26,13:35,EI403,Rome (FCO),FCO,Aer Lingus,A320,EI-EDP,C,FALSE,,
01-Apr-26,13:35,FR7379,Marrakesh (RAK),RAK,Ryanair,B738,SP-RNS,C,FALSE,,
01-Apr-26,13:40,EI661,Vienna (VIE),VIE,Aer Lingus,A320,EI-DVL,C,FALSE,,
01-Apr-26,13:40,EA3253,Edinburgh (EDI),EDI,Aer Lingus Regional,AT76,EI-FAT,B,FALSE,,
01-Apr-26,13:45,EI3265,Birmingham (BHX),BHX,Aer Lingus Regional,AT76,EI-GZV,B,FALSE,,
01-Apr-26,14:00,EI605,Amsterdam (AMS),AMS,Aer Lingus,A21N,EI-XLW,C,FALSE,,
01-Apr-26,14:05,EI451,Naples (NAP),NAP,Aer Lingus,A320,EI-GAL,C,FALSE,,
01-Apr-26,14:10,EI525,Paris (CDG),CDG,Aer Lingus,A21N,EI-LRA,C,FALSE,,
01-Apr-26,14:10,FR11,Madrid (MAD),MAD,Ryanair,B38M,EI-HGY,C,FALSE,,
01-Apr-26,14:15,FR9583,Iasi (IAS),IAS,Ryanair,B38M,EI-IHM,C,FALSE,,
01-Apr-26,14:20,EI3193,Liverpool (LPL),LPL,Aer Lingus Regional,AT76,EI-GPN,B,FALSE,,
01-Apr-26,14:20,EA3267,Birmingham (BHX),BHX,Aer Lingus Regional,AT76,EI-HPJ,B,FALSE,,
01-Apr-26,14:25,FR3994,Agadir (AGA),AGA,Ryanair,B738,EI-EVJ,C,FALSE,,
01-Apr-26,14:30,FR117,London (LGW),LGW,Ryanair,B738,9H-QAL,C,FALSE,,
01-Apr-26,14:30,FR203,London (STN),STN,Ryanair,B738,9H-QCF,C,FALSE,,
01-Apr-26,14:35,BA830,London (LHR),LHR,British Airways,A21N,G-NEOV,C,FALSE,,
01-Apr-26,14:35,EA3227,Glasgow (GLA),GLA,Aer Lingus Regional,AT76,EI-HPK,B,FALSE,,
01-Apr-26,14:40,EA3255,Edinburgh (EDI),EDI,Aer Lingus Regional,AT76,EI-HDK,B,FALSE,,
01-Apr-26,14:45,EI493,Faro (FAO),FAO,Aer Lingus,A320,EI-DVE,C,FALSE,,
01-Apr-26,14:45,EI581,Malaga (AGP),AGP,Aer Lingus,A333,EI-FNG,E,FALSE,,
01-Apr-26,14:45,FR327,Bucharest (OTP),OTP,Ryanair,B38M,9H-VVJ,C,FALSE,,
01-Apr-26,14:50,EI163,London (LHR),LHR,Aer Lingus,A20N,EI-NSE,C,FALSE,,
01-Apr-26,14:50,EI393,Hamburg (HAM),HAM,Aer Lingus,A320,EI-DEI,C,FALSE,,
01-Apr-26,14:50,EI673,Budapest (BUD),BUD,Aer Lingus,A320,EI-DVK,C,FALSE,,
01-Apr-26,14:50,FR557,Manchester (MAN),MAN,Ryanair,B738,EI-DPN,C,FALSE,,
01-Apr-26,15:00,H4473,Chisinau (RMO),RMO,HiSky,A320,YR-SKY,C,FALSE,,
01-Apr-26,15:05,BA4464,London (LCY),LCY,British Airways,E190,G-LCYP,C,FALSE,,
01-Apr-26,15:05,FR507,Bristol (BRS),BRS,Ryanair,B38M,EI-IJA,C,FALSE,,
01-Apr-26,15:05,FR7033,Faro (FAO),FAO,Ryanair,B38M,EI-HMW,C,FALSE,,
01-Apr-26,15:10,EI533,Toulouse (TLS),TLS,Aer Lingus,A320,EI-DEJ,C,FALSE,,
01-Apr-26,15:10,FR331,London (LTN),LTN,Ryanair,B38M,EI-ILJ,C,FALSE,,
01-Apr-26,15:10,FR5556,Tenerife (TFS),TFS,Ryanair,B38M,EI-HEN,C,FALSE,,
01-Apr-26,15:16,UNI135,Innsbruck (INN),INN,Unicair,LJ45,D-CHLP,C,FALSE,,
