date,sta,flight_no,origin,origin_code,airline_name,aircraft_type,tail_reg,icao_cat,cbp_flag,actual_landing,gate
31-Mar-26,12:05,EI142,Cancun (CUN),CUN,Aer Lingus,A333,EI-FNH,E,FALSE,,
31-Mar-26,12:05,EI333,Berlin (BER),BER,Aer Lingus,A320,EI-GAM,C,FALSE,,
31-Mar-26,12:05,FR1739,Valencia (VLC),VLC,Ryanair,B738,EI-EGD,C,FALSE,,
31-Mar-26,12:05,WF372,Bergen (BGO),BGO,Wideroe,E290,LN-WEB,C,FALSE,,
31-Mar-26,12:10,EI651,Frankfurt (FRA),FRA,Aer Lingus,A320,EI-DEI,C,FALSE,,
31-Mar-26,12:10,LX400,Zurich (ZRH),ZRH,Swiss,BCS3,HB-JCJ,C,FALSE,,
31-Mar-26,12:15,EI52,Seattle (SEA),SEA,Aer Lingus,A332,EI-DUO,E,TRUE,,
31-Mar-26,12:15,FR6920,Barcelona (BCN),BCN,Ryanair,B738,SP-RKV,C,FALSE,,
31-Mar-26,12:16,N/A,Glasgow (GLA),GLA,NetJets,C56X,G-NJAK,C,FALSE,,
31-Mar-26,12:20,EI593,Madrid (MAD),MAD,Aer Lingus,A320,EI-DVG,C,FALSE,,
31-Mar-26,12:20,EW2774,Stuttgart (STR),STR,Eurowings,A319,D-AGWV,C,FALSE,,
31-Mar-26,12:20,FR7137,Lisbon (LIS),LIS,Ryanair,B38M,9H-VVL,C,FALSE,,
31-Mar-26,12:20,EK161,Dubai (DXB),DXB,Emirates,B77W,A6-ENV,C,FALSE,,
31-Mar-26,12:25,EA3555,Edinburgh (EDI),EDI,Aer Lingus Regional,AT76,EI-GZV,B,FALSE,,
31-Mar-26,12:25,FR3955,Nice (NCE),NCE,Ryanair,B38M,9H-VUZ,C,FALSE,,
31-Mar-26,12:30,FR817,Edinburgh (EDI),EDI,Ryanair,B38M,EI-ILH,C,FALSE,,
31-Mar-26,12:30,FR1924,Warsaw (WMI),WMI,Ryanair,B38M,EI-IJD,C,FALSE,,
31-Mar-26,12:35,FR438,Reus (REU),REU,Ryanair,B738,SP-RKD,C,FALSE,,
31-Mar-26,12:35,FR9457,Bologna (BLQ),BLQ,Ryanair,B738,9H-QCX,C,FALSE,,
31-Mar-26,12:40,KL1139,Amsterdam (AMS),AMS,KLM,E295,PH-NXW,C,FALSE,,
31-Mar-26,12:45,EI205,Manchester (MAN),MAN,Aer Lingus,A21N,EI-LRE,C,FALSE,,
31-Mar-26,12:50,EI343,Zurich (ZRH),ZRH,Aer Lingus,A320,EI-EDS,C,FALSE,,
31-Mar-26,12:50,EI563,Barcelona (BCN),BCN,Aer Lingus,A20N,EI-NSD,C,FALSE,,
31-Mar-26,12:55,EI433,Milan (LIN),LIN,Aer Lingus,A320,EI-DEP,C,FALSE,,
31-Mar-26,12:55,FR287,London (STN),STN,Ryanair,B738,SP-RKW,C,FALSE,,
31-Mar-26,13:00,FR25,Paris (BVA),BVA,Ryanair,B38M,EI-IJZ,C,FALSE,,
31-Mar-26,13:00,PC1157,Istanbul (SAW),SAW,Pegasus,A20N,TC-NBA,C,FALSE,,
31-Mar-26,13:05,EI353,Munich (MUC),MUC,Aer Lingus,A320,EI-DVH,C,FALSE,,
31-Mar-26,13:05,FR663,Birmingham (BHX),BHX,Ryanair,B738,EI-GXK,C,FALSE,,
